U1	IA	Tact	U2	UH
17,50	2,16	181	2,0	6,3
17,53	2,08	181	2,0	6,3
17,55	2,03	181	2,0	6,3
17,58	1,98	181	2,0	6,3
17,60	1,93	181	2,0	6,3
17,63	1,86	181	2,0	6,3
17,65	1,81	181	2,0	6,3
17,68	1,74	181	2,0	6,3
17,70	1,66	181	2,0	6,3
17,72	1,59	181	2,0	6,3
17,75	1,52	181	2,0	6,3
17,77	1,45	181	2,0	6,3
17,80	1,39	181	2,0	6,3
17,82	1,34	181	2,0	6,3
17,85	1,28	181	2,0	6,3
17,87	1,23	181	2,0	6,3
17,89	1,21	181	2,0	6,3
17,92	1,15	181	2,0	6,3
17,94	1,10	181	2,0	6,3
17,97	1,05	181	2,0	6,3
17,99	0,99	181	2,0	6,3
18,02	0,91	181	2,0	6,3
18,04	0,86	181	2,0	6,3
18,07	0,81	181	2,0	6,3
18,09	0,76	181	2,0	6,3
18,11	0,71	181	2,0	6,3
18,14	0,70	181	2,0	6,3
18,16	0,67	181	2,0	6,3
18,19	0,63	181	2,0	6,3
18,21	0,61	181	2,0	6,3
18,24	0,58	181	2,0	6,3
18,26	0,53	181	2,0	6,3
18,29	0,50	181	2,0	6,3
18,31	0,47	181	2,0	6,3
18,33	0,43	181	2,0	6,3
18,36	0,41	181	2,0	6,3
18,38	0,36	181	2,0	6,3
18,41	0,34	181	2,0	6,3
18,43	0,32	181	2,0	6,3
18,46	0,32	181	2,0	6,3
18,48	0,29	181	2,0	6,3
18,51	0,29	181	2,0	6,3
18,53	0,27	181	2,0	6,3
18,55	0,25	181	2,0	6,3
18,58	0,23	181	2,0	6,3
18,60	0,22	181	2,0	6,3
18,63	0,19	181	2,0	6,3
18,65	0,18	181	2,0	6,3
18,68	0,18	181	2,0	6,3
18,70	0,18	181	2,0	6,3
18,73	0,17	181	2,0	6,3
18,75	0,21	181	2,0	6,3
18,77	0,21	181	2,0	6,3
18,80	0,20	181	2,0	6,3
18,82	0,20	181	2,0	6,3
18,85	0,19	181	2,0	6,3
